Date,Place,Opp,Result,TmScore,OppScore,FG,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,FGOpp,FGAOpp,FG%Opp,3POpp,3PAOpp,3P%Opp,FTOpp,FTAOpp,FT%Opp,ORBOpp,TRBOpp,ASTOpp,STLOpp,BLKOpp,TOVOpp,PFOpp,Team
2020-12-03,0,California,W,70,62,26,52,0.5,6,21,0.286,12,16,0.75,3,24,11,3,3,14,19,22,55,0.4,7,26,0.269,11,17,0.647,9,33,10,4,1,19,17,arizona-state
2020-12-10,1,San Diego State,L,68,80,20,58,0.345,13,34,0.382,15,22,0.682,6,32,14,5,5,12,23,27,61,0.443,8,25,0.32,18,25,0.72,11,38,14,8,3,12,20,arizona-state
2020-12-13,0,Grand Canyon,W,71,70,27,57,0.474,7,19,0.368,10,13,0.769,4,26,10,12,2,12,19,23,48,0.479,5,15,0.333,19,23,0.826,4,31,12,7,0,18,16,arizona-state
2020-12-16,1,UTEP,L,63,76,24,60,0.4,1,18,0.056,14,21,0.667,3,20,9,10,6,10,15,29,60,0.483,8,22,0.364,10,11,0.909,7,42,14,6,4,19,20,arizona-state
2021-01-07,1,UCLA,L,75,81,28,72,0.389,6,26,0.231,13,16,0.813,10,37,11,10,4,11,22,29,64,0.453,9,23,0.391,14,24,0.583,11,40,17,3,3,18,17,arizona-state
2021-01-09,1,USC,L,64,73,20,59,0.339,9,24,0.375,15,24,0.625,4,26,9,4,3,8,25,22,56,0.393,3,22,0.136,26,32,0.813,13,48,13,4,12,14,19,arizona-state
2021-01-16,0,Oregon State,L,79,80,28,56,0.5,5,21,0.238,18,23,0.783,6,23,22,6,0,4,23,25,54,0.463,9,21,0.429,21,27,0.778,12,30,19,1,1,11,21,arizona-state
2021-01-21,1,Arizona,L,82,84,25,54,0.463,11,21,0.524,21,29,0.724,6,27,16,8,6,16,16,29,61,0.475,11,20,0.55,15,17,0.882,7,33,17,6,5,13,23,arizona-state
2021-01-25,0,Arizona,L,67,80,25,69,0.362,8,31,0.258,9,11,0.818,8,27,11,3,5,12,29,23,43,0.535,2,6,0.333,32,43,0.744,3,36,13,10,7,16,15,arizona-state
2021-01-28,1,California,W,72,68,28,56,0.5,3,14,0.214,13,20,0.65,5,28,14,8,7,10,16,24,61,0.393,7,24,0.292,13,18,0.722,12,40,14,2,1,14,17,arizona-state
2021-01-30,1,Stanford,W,79,75,29,58,0.5,6,19,0.316,15,17,0.882,5,21,15,12,2,14,23,21,47,0.447,2,15,0.133,31,34,0.912,8,31,9,8,2,18,17,arizona-state
2021-02-11,1,Oregon,L,64,75,22,66,0.333,9,26,0.346,11,13,0.846,14,42,13,6,3,14,12,28,66,0.424,12,30,0.4,7,8,0.875,9,39,22,8,3,11,14,arizona-state
2021-02-14,1,Oregon State,W,75,73,23,54,0.426,4,15,0.267,25,34,0.735,6,28,10,9,1,7,20,25,57,0.439,7,19,0.368,16,22,0.727,11,35,15,3,6,15,26,arizona-state
2021-02-17,0,USC,L,71,89,27,60,0.45,8,15,0.533,9,9,1,7,25,11,5,1,10,17,36,66,0.545,11,20,0.55,6,10,0.6,11,35,21,5,4,10,12,arizona-state
2021-02-20,0,UCLA,L,79,80,28,61,0.459,10,20,0.5,13,17,0.765,4,24,13,3,2,5,19,27,57,0.474,7,18,0.389,19,23,0.826,9,37,16,3,1,11,17,arizona-state
2021-02-23,1,Washington,W,97,64,35,69,0.507,10,26,0.385,17,25,0.68,9,39,19,12,5,8,19,24,65,0.369,7,29,0.241,9,20,0.45,9,34,13,3,0,16,16,arizona-state
2021-02-25,1,Washington,W,80,72,29,60,0.483,6,15,0.4,16,21,0.762,7,36,17,5,3,11,16,27,63,0.429,11,27,0.407,7,14,0.5,10,35,15,5,3,14,20,arizona-state
2021-02-27,1,Washington State,W,77,74,27,65,0.415,7,25,0.28,16,21,0.762,11,30,17,8,5,11,17,24,59,0.407,7,17,0.412,19,21,0.905,10,38,15,7,4,15,17,arizona-state
2021-03-04,0,Colorado,L,61,75,20,58,0.345,7,19,0.368,14,16,0.875,7,27,9,6,2,11,18,26,57,0.456,6,19,0.316,17,19,0.895,12,43,12,4,3,13,15,arizona-state
2021-03-06,0,Utah,L,59,98,24,64,0.375,3,13,0.231,8,16,0.5,9,25,10,6,2,12,11,39,66,0.591,8,21,0.381,12,12,1,7,39,24,7,5,10,14,arizona-state
2021-03-10,2,Washington State,W,64,59,25,58,0.431,2,12,0.167,12,18,0.667,5,28,14,13,2,13,15,24,58,0.414,6,22,0.273,5,7,0.714,10,40,8,7,3,20,19,arizona-state
2021-03-11,2,Oregon,L,73,91,27,62,0.435,10,28,0.357,9,11,0.818,4,29,14,7,1,12,17,36,61,0.59,10,18,0.556,9,17,0.529,5,33,19,8,4,10,13,arizona-state
2020-11-25,1,Mississippi Valley State,W,142,62,48,86,0.558,20,40,0.5,26,33,0.788,19,54,26,11,4,7,12,23,72,0.319,13,39,0.333,3,6,0.5,11,29,12,3,6,21,26,arkansas
2020-11-28,1,North Texas,W,69,54,23,55,0.418,6,22,0.273,17,26,0.654,10,37,10,9,8,16,14,21,58,0.362,2,13,0.154,10,13,0.769,10,35,10,5,2,16,17,arkansas
2020-12-02,1,UT Arlington,W,72,60,25,62,0.403,7,21,0.333,15,19,0.789,16,39,12,8,4,11,16,21,54,0.389,7,19,0.368,11,16,0.688,9,26,7,7,3,12,18,arkansas
2020-12-05,1,Lipscomb,W,86,50,33,66,0.5,11,34,0.324,9,12,0.75,10,54,17,4,7,12,21,15,59,0.254,5,21,0.238,15,27,0.556,8,31,9,7,0,7,11,arkansas
2020-12-09,1,Southern,W,79,44,30,67,0.448,11,33,0.333,8,17,0.471,12,42,16,8,8,12,10,18,63,0.286,1,13,0.077,7,10,0.7,8,35,5,6,0,14,21,arkansas
2020-12-12,1,Central Arkansas,W,100,75,40,76,0.526,12,30,0.4,8,9,0.889,6,30,26,10,8,8,15,28,66,0.424,9,26,0.346,10,12,0.833,8,35,14,5,1,14,12,arkansas
2020-12-20,1,Oral Roberts,W,87,76,32,77,0.416,4,24,0.167,19,27,0.704,23,54,14,8,7,14,18,25,64,0.391,8,29,0.276,18,24,0.75,6,29,11,10,7,12,22,arkansas
2020-12-22,1,Abilene Christian,W,85,72,26,59,0.441,9,25,0.36,24,30,0.8,12,36,15,6,5,13,18,29,61,0.475,5,22,0.227,9,15,0.6,8,25,13,3,4,12,19,arkansas
2020-12-30,0,Auburn,W,97,85,32,65,0.492,9,28,0.321,24,31,0.774,12,32,13,13,4,9,16,28,54,0.519,15,29,0.517,14,24,0.583,10,33,18,6,5,18,20,arkansas
2021-01-02,1,Missouri,L,68,81,19,71,0.268,7,28,0.25,23,34,0.676,12,32,7,13,5,7,26,24,51,0.471,5,19,0.263,28,39,0.718,7,46,14,3,1,21,29,arkansas
2021-01-06,0,Tennessee,L,74,79,29,55,0.527,8,20,0.4,8,10,0.8,4,33,12,2,2,20,22,27,60,0.45,5,18,0.278,20,26,0.769,3,25,13,10,9,4,12,arkansas
2021-01-09,1,Georgia,W,99,69,36,69,0.522,12,21,0.571,15,18,0.833,10,34,24,7,1,14,18,27,63,0.429,5,19,0.263,10,13,0.769,6,27,11,5,0,20,19,arkansas
2021-01-13,0,LSU,L,76,92,26,76,0.342,8,31,0.258,16,20,0.8,17,38,8,10,2,15,20,34,65,0.523,7,19,0.368,17,24,0.708,12,45,10,7,3,18,20,arkansas
